feature,importance,model,feature_set
Product ID_P0003,0.1054193257823462,Linear Regression,vendor
Product ID_P0007,0.09981822458446449,Linear Regression,vendor
month,0.09528390375841411,Linear Regression,vendor
inventory_to_ma7,0.0793278751661583,Linear Regression,vendor
Product ID_P0017,0.07767770332526297,Linear Regression,vendor
Store ID_S001,0.07720853148541386,Linear Regression,vendor
Product ID_P0015,0.07716453924384754,Linear Regression,vendor
std_7_sales,0.0765094034306264,Linear Regression,vendor
Product ID_P0009,0.07279445635181007,Linear Regression,vendor
Product ID_P0005,0.07073993419963151,Linear Regression,vendor
price_to_competitor,0.06861202490701346,Linear Regression,vendor
ma_30_sales,0.06045598388674356,Linear Regression,vendor
Product ID_P0001,0.059689689248414,Linear Regression,vendor
Product ID_P0014,0.05950003990021156,Linear Regression,vendor
Category_Furniture,0.058184672284097155,Linear Regression,vendor
Product ID_P0008,0.055360403845011785,Linear Regression,vendor
day_of_week,0.0546151656526046,Linear Regression,vendor
weekofyear,0.05041867030655567,Linear Regression,vendor
price_discount,0.048820523171358765,Linear Regression,vendor
Category_Toys,0.04750212376066308,Linear Regression,vendor
Store ID_S003,0.04482796335115097,Linear Regression,vendor
Product ID_P0012,0.04412088362057883,Linear Regression,vendor
lag_7_sales,0.04199084407702536,Linear Regression,vendor
dow_sin,0.0417677870761759,Linear Regression,vendor
Product ID_P0006,0.03987226650503474,Linear Regression,vendor
Seasonality_Summer,0.03969856951104993,Linear Regression,vendor
Region_West,0.03947847037879468,Linear Regression,vendor
Seasonality_Autumn,0.037460975390867984,Linear Regression,vendor
Region_South,0.03376944117619604,Linear Regression,vendor
Region_North,0.03271005867727064,Linear Regression,vendor
Holiday/Promotion,0.030798425550238373,Linear Regression,vendor
Product ID_P0004,0.027687390170777038,Linear Regression,vendor
Product ID_P0002,0.027663149179283607,Linear Regression,vendor
Seasonality_Spring,0.027399262811630107,Linear Regression,vendor
lag_1_sales,0.027060433041510734,Linear Regression,vendor
Seasonality_Winter,0.025161668691480815,Linear Regression,vendor
Weather Condition_Snowy,0.02355581402809901,Linear Regression,vendor
Discount,0.0232553214204545,Linear Regression,vendor
discount_rate,0.02325532142043274,Linear Regression,vendor
Product ID_P0011,0.019873632553455006,Linear Regression,vendor
